IID1,IID2,G,famIDseqID
1022,192,0.242648211298043,13
1059,192,0.255511488716613,13
1116,192,0.199527448447517,13
198,194,0.191741453526052,13
325,194,0.131078413293791,13
432,194,0.28504705569973,13
575,194,0.218038946032102,13
584,194,0.318855614232818,13
749,194,0.199008483556188,13
755,194,0.166912676599286,13
762,194,0.182710330198479,13
811,194,0.277182470027618,13
821,194,0.23135990201932,13
981,194,0.19693182414902,13
1011,194,0.328984526811002,13
1054,194,0.360789311731833,13
1059,194,0.18393328703195,13
1116,194,0.145642414365061,13
256,198,0.205771251336045,13
432,198,0.140411516145994,13
584,198,0.364478301517732,13
725,198,0.267173540074768,13
811,198,0.308173943794176,13
821,198,0.272260097557937,13
955,198,0.12788816976204,13
1011,198,0.234472807061606,13
1022,198,0.225058291949292,13
1054,198,0.299866712441194,13
325,256,0.207405692632947,13
432,256,0.311643579627282,13
575,256,0.187787886815999,13
584,256,0.270174036777797,13
749,256,0.260446629620707,13
755,256,0.244414033770751,13
762,256,0.324074403166264,13
811,256,0.325598116951368,13
821,256,0.296689224622344,13
981,256,0.201596571192453,13
1011,256,0.354949029717708,13
1054,256,0.201319431142222,13
1059,256,0.209021484414162,13
1116,256,0.208663983328353,13
432,325,0.224647789583482,13
584,325,0.19898623013683,13
725,325,0.232669645045005,13
811,325,0.203164636577612,13
821,325,0.198242283405746,13
955,325,0.18866794567855,13
1011,325,0.208565246317338,13
1022,325,0.0892162352082413,13
1054,325,0.148914970693777,13
575,432,0.253479761002533,13
725,432,0.295334022432681,13
749,432,0.16197888644989,13
755,432,0.295065765289994,13
762,432,0.233558859169847,13
955,432,0.314268303351368,13
981,432,0.175502027173037,13
1022,432,0.220508929455474,13
1059,432,0.336202923856799,13
1116,432,0.197144222331494,13
584,575,0.236694957946179,13
725,575,0.183975429132464,13
811,575,0.254023052721539,13
821,575,0.153890471339778,13
955,575,0.191664076394013,13
1011,575,0.288286576891844,13
1022,575,0.18890485654139,13
1054,575,0.219073571429862,13
725,584,0.295365157184409,13
749,584,0.346790938729341,13
755,584,0.181028866840643,13
762,584,0.200000109562466,13
955,584,0.184403050227457,13
981,584,0.22470451517337,13
1022,584,0.311622704431138,13
1059,584,0.11740332058723,13
1116,584,0.207771656148608,13
749,725,0.206672864506499,13
755,725,0.148015321786165,13
762,725,0.239052559104518,13
811,725,0.259876112453856,13
821,725,0.289756145185766,13
981,725,0.200490446194256,13
1011,725,0.236109104701136,13
1054,725,0.320610209960793,13
1059,725,0.234593363217736,13
1116,725,0.218937951927646,13
811,749,0.192496183459869,13
821,749,0.294312131544446,13
955,749,0.203941929242715,13
1011,749,0.27295347595585,13
1022,749,0.190539612348845,13
1054,749,0.213337754258883,13
811,755,0.345318926122364,13
821,755,0.292764177709966,13
955,755,0.181374772802353,13
1011,755,0.264397970950632,13
1022,755,0.227869832486411,13
1054,755,0.172016843523652,13
811,762,0.175343219154026,13
821,762,0.225547057021174,13
955,762,0.299281885803656,13
1011,762,0.256169782534946,13
1022,762,0.116302509733612,13
1054,762,0.110935031451298,13
955,811,0.192921985497717,13
981,811,0.242755213312359,13
1022,811,0.371472491098473,13
1059,811,0.163245676221159,13
1116,811,0.260883590843878,13
955,821,0.19273689397435,13
981,821,0.192370723635496,13
1022,821,0.274800078125507,13
1059,821,0.246124206016624,13
1116,821,0.180526789596112,13
981,955,0.194439027556294,13
1011,955,0.243035967613494,13
1054,955,0.101476218620784,13
1059,955,0.233764919813112,13
1116,955,0.221191892000999,13
1011,981,0.161339906123211,13
1022,981,0.196456693070884,13
1054,981,0.305485856178197,13
1022,1011,0.264793420323595,13
1059,1011,0.298235160769885,13
1116,1011,0.277541710075372,13
1054,1022,0.299025663601419,13
1059,1022,0.0824990598989071,13
1116,1022,0.141088465984139,13
1059,1054,0.180009832890189,13
1116,1054,0.194000174607491,13
327,5,0.182163061812881,14
390,5,0.198382186531253,14
421,5,0.201760555127638,14
431,5,0.208386758576034,14
514,5,0.200641661439343,14
554,5,0.164003614665853,14
1108,5,0.212073479704324,14
327,78,0.103707924427369,14
390,78,0.186236832748272,14
421,78,0.0907721853639503,14
431,78,0.175259549366741,14
514,78,0.178800023368913,14
554,78,0.152801351897906,14
1108,78,0.184091343790248,14
327,133,0.171320025162304,14
390,133,0.231966657740409,14
421,133,0.143307704865608,14
431,133,0.257477173043487,14
514,133,0.191843839231209,14
554,133,0.201271312126518,14
1108,133,0.254200967444757,14
327,137,0.196215570163819,14
390,137,0.20943202024446,14
421,137,0.211900861777403,14
431,137,0.160258453469582,14
514,137,0.138300257162763,14
554,137,0.27470267218467,14
1108,137,0.172770170714886,14
327,183,0.242467527560194,14
390,183,0.212150760647804,14
421,183,0.250121615215306,14
431,183,0.100797480798727,14
514,183,0.2515815258338,14
554,183,0.197663163311735,14
1108,183,0.124281954779573,14
327,204,0.121055117074041,14
390,204,0.257378121709194,14
421,204,0.176040766109164,14
431,204,0.0797772887500308,14
514,204,0.0866661337857531,14
554,204,0.240575376884867,14
1108,204,0.171670459401234,14
373,327,0.165932767914308,14
562,327,0.170162427212224,14
862,327,0.244942533840005,14
1071,327,0.211811616249663,14
390,373,0.0685252042934092,14
421,373,0.243259007362799,14
431,373,0.143767497059117,14
514,373,0.176331993447408,14
554,373,0.153250696135852,14
1108,373,0.044730007848633,14
562,390,0.206737547538574,14
862,390,0.219828329222874,14
1071,390,0.21211620260752,14
562,421,0.238627785192098,14
862,421,0.248127975008839,14
1071,421,0.184704032674745,14
562,431,0.160592042612583,14
862,431,0.113984210595551,14
1071,431,0.180190569814347,14
562,514,0.109384323288458,14
862,514,0.166825009551702,14
1071,514,0.136471131054259,14
562,554,0.178951052473823,14
862,554,0.275008584782739,14
1071,554,0.228701487705628,14
1108,562,0.177017938714507,14
1108,862,0.192103319608479,14
1108,1071,0.137752355802054,14
77,68,0.15689858965149,16
259,68,0.271977901944571,16
264,68,0.269624304294938,16
549,68,0.307522947125552,16
654,68,0.31863782701609,16
684,68,0.312610013812906,16
830,68,0.234555638804558,16
950,68,0.314832933403253,16
1103,68,0.19989891406279,16
1107,68,0.358763618632099,16
104,77,0.297855828971056,16
242,77,0.137794909746267,16
344,77,0.238718638792477,16
372,77,0.293493055024199,16
616,77,0.145898090687534,16
865,77,0.222284223518439,16
936,77,0.173952625534884,16
1068,77,0.312772471743946,16
1127,77,0.266601052279061,16
259,104,0.243661113961345,16
264,104,0.159563809962789,16
549,104,0.160085569998526,16
654,104,0.219777163239187,16
684,104,0.318850014193046,16
830,104,0.240087043828924,16
950,104,0.292615203752709,16
1103,104,0.147042215075191,16
1107,104,0.143738771363392,16
259,242,0.231531713159121,16
264,242,0.280811356204113,16
549,242,0.275461015325821,16
654,242,0.306583172707069,16
684,242,0.275615477678944,16
830,242,0.166898056889017,16
950,242,0.24230550043429,16
1103,242,0.257380305307748,16
1107,242,0.330259315740165,16
344,259,0.245247463997223,16
372,259,0.249695134506598,16
616,259,0.211893869179713,16
865,259,0.273944564115739,16
936,259,0.192445808059415,16
1068,259,0.234768631106174,16
1127,259,0.319379401711034,16
