IID1,IID2,G,seqfamID
889,370,0.497866559631131,45
1024,370,0.322795662051397,45
889,434,0.446096712472222,45
1024,434,0.450306572533397,45
1024,889,0.550115559840831,45
254,115,0.488714338954218,3
338,115,0.401077133597563,3
535,115,0.460983509518048,3
638,115,0.543145134117294,3
645,115,0.527563878200086,3
768,115,0.406774268195274,3
1077,115,0.557718687477539,3
338,254,0.435502107557886,3
535,254,0.469201183885538,3
638,254,0.46157896158823,3
645,254,0.40946072609094,3
768,254,0.508883435005743,3
1077,254,0.476175393859691,3
535,338,0.448490306626846,3
638,338,0.430913656987524,3
645,338,0.475590500773141,3
768,338,0.454532652107527,3
1077,338,0.463864604230691,3
638,535,0.499197165751198,3
645,535,0.49864211755083,3
768,535,0.617690342332827,3
1077,535,0.408043564060622,3
645,638,0.413516424257888,3
768,638,0.463293344111404,3
1077,638,0.468783067647221,3
768,645,0.445752340780781,3
1077,645,0.478949108526589,3
1077,768,0.493789942196331,3
178,44,0.526516306208861,12
287,44,0.602142235598262,12
481,44,0.526656317194601,12
525,44,0.545600515724568,12
682,44,0.577820465510746,12
859,44,0.602970249763297,12
1055,44,0.642640369903572,12
287,178,0.502494324885954,12
481,178,0.54417853850331,12
525,178,0.382089696746074,12
682,178,0.622090101785069,12
859,178,0.467293986455261,12
1055,178,0.454386859799878,12
481,287,0.699242853086413,12
525,287,0.536839920854086,12
682,287,0.62978727490084,12
859,287,0.62290607707869,12
1055,287,0.612957179843947,12
525,481,0.548156246837713,12
682,481,0.611590275609051,12
859,481,0.549149541036974,12
1055,481,0.617936676476058,12
682,525,0.560296304448508,12
859,525,0.537721999380873,12
1055,525,0.571992059216724,12
859,682,0.585411454790213,12
1055,682,0.53472264504582,12
1055,859,0.525897242613251,12
164,33,0.287824622789956,19
169,33,0.418996141653965,19
194,33,0.464810154214613,19
256,33,0.444741739087763,19
725,33,0.448815413152185,19
955,33,0.460636322737944,19
1022,33,0.357757817793368,19
169,164,0.485107096976822,19
194,164,0.451865625721176,19
256,164,0.434486788915205,19
725,164,0.499894556235603,19
955,164,0.494019305270788,19
1022,164,0.570352721375086,19
194,169,0.544800734217755,19
256,169,0.330220293508518,19
725,169,0.369921245963767,19
955,169,0.33450733109804,19
1022,169,0.496379678720077,19
256,194,0.397720281472577,19
725,194,0.36575090699,19
955,194,0.400836459109992,19
1022,194,0.367905013623473,19
725,256,0.417122229583793,19
955,256,0.533173897258244,19
1022,256,0.421438867504474,19
955,725,0.456579350791706,19
1022,725,0.489608770496686,19
1022,955,0.378528388338173,19
236,27,0.46553463581592,57
502,27,0.61313184906012,57
579,27,0.428569993204706,57
704,27,0.38917372043918,57
706,27,0.439178304573206,57
972,27,0.423539490510202,57
1099,27,0.391302740337135,57
502,236,0.567792336133901,57
579,236,0.33485410580243,57
704,236,0.474752145313113,57
706,236,0.529774625741729,57
972,236,0.4637097463535,57
1099,236,0.409112696553284,57
579,502,0.473965376520503,57
704,502,0.569717217598637,57
706,502,0.454571923943492,57
972,502,0.445656514299161,57
1099,502,0.448905018994394,57
704,579,0.535418299289824,57
706,579,0.526163537543061,57
972,579,0.5349467477001,57
1099,579,0.540137670673592,57
706,704,0.51862180955278,57
972,704,0.483227957139911,57
1099,704,0.529889518791003,57
972,706,0.56390719263974,57
1099,706,0.51695370552825,57
1099,972,0.375486432437149,57
461,149,0.48247594842494,75
626,149,0.373397160656717,75
656,149,0.427375961450774,75
663,149,0.47658866252541,75
664,149,0.472157670099503,75
786,149,0.41179445708116,75
967,149,0.447627707049577,75
626,461,0.56027654680276,75
656,461,0.489610580399338,75
663,461,0.515356324115092,75
664,461,0.501696361201803,75
786,461,0.411870559201975,75
967,461,0.389232789150629,75
656,626,0.582903278449135,75
663,626,0.499604291353021,75
664,626,0.437330308433663,75
786,626,0.482277853717748,75
967,626,0.521821758927057,75
663,656,0.466507375152928,75
664,656,0.407792917136748,75
786,656,0.478033556248058,75
967,656,0.527298132952769,75
664,663,0.465075353222237,75
786,663,0.361418784141868,75
967,663,0.421583299509355,75
786,664,0.433381622652389,75
967,664,0.458457852694278,75
967,786,0.496412520139445,75
177,90,0.462439384559073,84
336,90,0.444407483828137,84
337,90,0.399419938166645,84
583,90,0.517029445540209,84
585,90,0.415580480389891,84
855,90,0.582895092791236,84
1044,90,0.546454968400904,84
336,177,0.344402402287895,84
337,177,0.585787992446104,84
583,177,0.565126989514421,84
585,177,0.366334797234889,84
855,177,0.502055434371728,84
1044,177,0.545847466612708,84
337,336,0.320607569963566,84
583,336,0.431921013523708,84
585,336,0.468412549782469,84
855,336,0.375212192849578,84
1044,336,0.436663743772501,84
583,337,0.578132693311876,84
585,337,0.455796028630729,84
855,337,0.501923525330746,84
1044,337,0.602618209092434,84
585,583,0.488840347483056,84
855,583,0.490975121821089,84
1044,583,0.611387312257116,84
855,585,0.38495702417633,84
1044,585,0.432414643663796,84
1044,855,0.575547351600682,84
273,64,0.528614137175036,88
283,64,0.552438333975224,88
469,64,0.469747216272088,88
701,64,0.410040937717766,88
804,64,0.48321836170412,88
1010,64,0.459271790040764,88
1030,64,0.481389758364582,88
283,273,0.515038179924731,88
469,273,0.374399150353978,88
701,273,0.478080595240377,88
804,273,0.491769219225654,88
1010,273,0.515898139086068,88
1030,273,0.397761102434466,88
469,283,0.563062748790173,88
701,283,0.52532479799949,88
804,283,0.549153972433552,88
1010,283,0.554860472979336,88
1030,283,0.633983965701512,88
701,469,0.586506402474254,88
804,469,0.530422999685313,88
1010,469,0.453090979494742,88
1030,469,0.557125670294279,88
804,701,0.550276380749913,88
1010,701,0.542016675317615,88
1030,701,0.521011835709851,88
1010,804,0.63833781981539,88
1030,804,0.582345487917662,88
1030,1010,0.562918364776285,88
284,201,0.503630254052044,91
376,201,0.422748340640458,91
586,201,0.428069122098695,91
747,201,0.390342741644545,91
787,201,0.43844784734847,91
1031,201,0.537201500185916,91
1067,201,0.508945161329292,91
376,284,0.450495089777076,91
586,284,0.505465158370456,91
747,284,0.476018255250983,91
787,284,0.456244524746072,91
1031,284,0.495075142178608,91
1067,284,0.421857766490861,91
586,376,0.537833434312096,91
747,376,0.562788066351741,91
787,376,0.429177859276621,91
1031,376,0.501999800053507,91
1067,376,0.462109119082912,91
747,586,0.509674970265487,91
787,586,0.451276736767334,91
1031,586,0.432976138632357,91
1067,586,0.318739656385821,91
787,747,0.543758156861596,91
1031,747,0.532914921156958,91
1067,747,0.462398255110449,91
1031,787,0.525275086675458,91
1067,787,0.557222910310305,91
1067,1031,0.458945007006594,91
288,119,0.514774756463516,95
310,119,0.565721716469313,95
703,119,0.520641835724028,95
757,119,0.421295628604162,95
952,119,0.427254175706496,95
963,119,0.437594304504404,95
1140,119,0.368914264100125,95
310,288,0.473758329325233,95
703,288,0.373249539102218,95
757,288,0.492789292024373,95
952,288,0.531380716919804,95
963,288,0.478314791333084,95
1140,288,0.495466489798953,95
703,310,0.535926686135423,95
757,310,0.462738241757191,95
952,310,0.457113205716697,95
963,310,0.410985729506363,95
1140,310,0.40985570395582,95
757,703,0.375823983190091,95
952,703,0.399346690605285,95
963,703,0.403662992779662,95
1140,703,0.511460307416627,95
952,757,0.515438314919693,95
963,757,0.496754685623903,95
